DATE,RAW_DATA (Y/N),MILEAGE
2020-11-02,NO,31
2020-11-03,NO,24
2020-11-04,NO,26
2020-11-05,NO,21
2020-11-06,NO,40
2020-11-09,NO,23
2020-11-10,NO,23
2020-11-14,NO,21
2020-11-17,NO,15
2020-11-19,NO,20
2020-11-23,NO,35
2020-12-04,NO,52
2020-12-18,NO,20
2020-12-28,NO,27
2021-01-02,YES,21
2021-01-08,YES,26
2021-01-09,NO,27
2021-01-15,YES,32
2021-01-22,YES,17
2021-01-29,YES,37
2021-02-05,YES,23
2021-02-12,YES,49
2021-02-13,YES,31
2021-02-19,YES,31
2021-02-26,YES,34
