DATE,SHIFT_DURATION_HR,IDEAL_DURATION_HR,DURATION_DIFFERENCE,TOTAL_PKGS
2021-01-02,3.0,3.0,0.0,54
2021-01-08,4.0,3.0,1.0,38
2021-01-15,5.5,3.0,2.5,33
2021-01-22,4.0,3.0,1.0,40
2021-01-29,3.5,3.0,0.5,30
2021-02-05,4.5,3.0,1.5,39
2021-02-12,4.5,3.0,1.5,31
2021-02-13,3.5,3.0,0.5,46
2021-02-19,2.8,3.0,-0.2,26
2021-02-26,2.9,3.0,-0.1,28
2021-03-05,3.5,3.0,0.5,25
