DATE,ROUTE_MILEAGE,TOTAL_PKGS
1/2/21,21,54
1/8/21,26,38
1/15/21,32,33
1/22/21,17,40
1/29/21,37,30
2/5/21,23,39
2/12/21,49,31
2/13/21,31,46
2/19/21,31,26
2/26/21,34,28
